epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.6491,0.64748,0.90589,1,0.67809,0.000234784,0.000234784,0.000234784
2,32.1076,0.10531,0.9921,1,0.5688,0.000468103,0.000468103,0.000468103
3,47.5458,0.1429,0.93606,1,0.61719,0.00069671,0.00069671,0.00069671
4,62.6739,0.17034,0.96624,1,0.58771,0.000692794,0.000692794,0.000692794
5,77.8016,0.1159,0.9921,1,0.56192,0.000685726,0.000685726,0.000685726
6,93.0826,0.08789,0.9921,1,0.56286,0.000678657,0.000678657,0.000678657
7,108.275,0.08827,0.99138,1,0.56352,0.000671588,0.000671588,0.000671588
8,123.348,0.08972,0.98348,1,0.57213,0.00066452,0.00066452,0.00066452
9,138.718,0.07406,0.95546,1,0.59655,0.000657451,0.000657451,0.000657451
1,16.0048,0.64748,0.90589,1,0.67809,0.000234784,0.000234784,0.000234784
2,31.5672,0.10531,0.9921,1,0.5688,0.000468103,0.000468103,0.000468103
3,46.8529,0.1429,0.93606,1,0.61719,0.00069671,0.00069671,0.00069671
4,62.0819,0.17034,0.96624,1,0.58771,0.000692794,0.000692794,0.000692794
5,77.2372,0.1159,0.9921,1,0.56192,0.000685726,0.000685726,0.000685726
6,92.4622,0.08789,0.9921,1,0.56286,0.000678657,0.000678657,0.000678657
7,107.638,0.08827,0.99138,1,0.56352,0.000671588,0.000671588,0.000671588
8,122.804,0.08972,0.98348,1,0.57213,0.00066452,0.00066452,0.00066452
9,137.899,0.07406,0.95546,1,0.59655,0.000657451,0.000657451,0.000657451
10,153.069,0.07325,0.96695,1,0.587,0.000650383,0.000650383,0.000650383
11,168.143,0.06042,0.99569,1,0.55549,0.000643314,0.000643314,0.000643314
12,183.626,0.04108,0.99569,1,0.55611,0.000636245,0.000636245,0.000636245
13,199.258,0.0516,0.99641,1,0.55637,0.000629177,0.000629177,0.000629177
14,214.775,0.04533,0.99569,1,0.55726,0.000622108,0.000622108,0.000622108
15,230.221,0.05111,0.99425,1,0.55744,0.00061504,0.00061504,0.00061504
16,245.935,0.04849,0.99282,1,0.55917,0.000607971,0.000607971,0.000607971
17,260.984,0.04334,0.99425,1,0.55691,0.000600902,0.000600902,0.000600902
18,276.223,0.03924,0.98635,1,0.5645,0.000593834,0.000593834,0.000593834
